City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
147,nome,64.5011,-165.4064,-8.96,79,100,4.63,US
148,kampot,10.6167,104.1833,23.03,82,15,1.16,KH
149,kavieng,-2.5744,150.7967,27.24,78,97,2.38,PG
150,imeni poliny osipenko,52.4201,136.4853,-29.0,100,99,0.19,RU
151,port blair,11.6667,92.75,26.02,83,40,0.0,IN
152,changji,44.0167,87.3167,-7.56,93,100,2.0,CN
153,lavumisa,-27.31,31.892,20.57,94,16,1.56,SZ
154,pali,25.7667,73.3333,17.96,32,0,2.77,IN
155,saint-philippe,-21.3585,55.7679,25.77,86,100,5.01,RE
156,vestmannaeyjar,63.4427,-20.2734,8.67,78,100,15.73,IS
157,ostrowiec swietokrzyski,50.9294,21.3853,-7.81,94,87,2.16,PL
158,cabo san lucas,22.8909,-109.9124,27.56,40,0,4.12,MX
159,dingle,10.9995,122.6711,22.94,94,46,3.55,PH
160,matara,5.9485,80.5353,24.2,92,99,0.95,LK
161,rio grande,-32.035,-52.0986,26.06,74,9,4.68,BR
162,black river,18.0264,-77.8487,27.59,63,5,6.52,JM
163,timmins,48.4669,-81.3331,-14.1,72,100,4.12,CA
164,cascais,38.6979,-9.4215,14.41,51,0,3.13,PT
165,ugoofaaru,5.6667,73.0,26.65,77,100,1.41,MV
166,barranquitas,18.1866,-66.3063,23.46,83,30,3.82,PR
167,ponoka,52.6768,-113.5815,2.16,87,100,3.14,CA
168,ponta do sol,32.6667,-17.1,16.74,52,53,1.95,PT
169,meulaboh,4.1363,96.1285,23.73,88,100,2.19,ID
170,rantepao,-2.9701,119.8978,18.19,92,100,1.51,ID
171,hobart,-42.8794,147.3294,17.25,69,20,5.14,AU
172,fortuna,40.5982,-124.1573,10.19,89,100,1.54,US
173,ilulissat,69.2167,-51.1,-16.99,78,100,6.69,GL
174,ekhabi,53.5102,142.9671,-19.02,95,100,4.24,RU
175,maningrida,-12.0667,134.2667,24.54,78,100,2.08,AU
176,lyngseidet,69.5763,20.2189,3.0,92,94,3.16,NO
177,hokitika,-42.7167,170.9667,17.15,82,44,7.05,NZ
178,telde,27.9924,-15.4192,16.14,59,0,3.6,ES
179,northam,51.0333,-4.2167,3.12,80,65,2.88,GB
180,flinders,-34.5833,150.8552,22.43,78,33,1.79,AU
181,sayansk,54.1088,102.1648,-24.11,100,100,0.65,RU
182,kaeo,-35.1,173.7833,20.74,93,82,3.93,NZ
183,bengkulu,-3.8004,102.2655,23.27,88,98,3.2,ID
184,maple creek,49.9168,-109.4848,5.03,56,86,7.72,CA
185,tornio,65.8481,24.1466,-7.99,89,100,2.45,FI
186,arteaga,18.4667,-102.4167,27.99,28,0,3.21,MX
187,bonavista,48.6499,-53.1147,-5.02,62,86,9.51,CA
188,koszalin,54.1944,16.1722,-0.86,75,100,2.86,PL
189,kununurra,-15.7667,128.7333,23.99,94,42,0.0,AU
190,ahipara,-35.1667,173.1667,18.93,94,92,3.33,NZ
191,hobyo,5.3505,48.5268,24.46,80,16,7.64,SO
192,airai,-8.9266,125.4092,15.69,90,100,0.74,TL
193,ambon,-3.6954,128.1814,26.08,89,75,1.54,ID
194,sorland,67.667,12.6934,3.92,65,100,11.15,NO
195,luang prabang,19.8856,102.1347,19.68,92,70,0.85,LA
196,zyryanovsk,49.7386,84.2719,-9.38,96,100,1.02,KZ
197,dunedin,-45.8742,170.5036,19.89,61,37,4.92,NZ
198,port hardy,50.6996,-127.4199,7.1,87,75,3.09,CA
199,la ronge,55.1001,-105.2842,4.14,56,75,4.12,CA
200,mareeba,-17.0,145.4333,24.4,97,63,1.29,AU
201,tiksi,71.6872,128.8694,-32.93,100,100,1.38,RU
202,pozoblanco,38.3791,-4.8483,5.99,59,0,0.62,ES
203,kahului,20.8947,-156.47,26.02,75,40,10.8,US
204,boa vista,2.8197,-60.6733,26.99,74,20,4.63,BR
205,torbay,47.6666,-52.7314,-3.57,75,75,7.2,CA
206,ban nahin,18.2418,104.2122,20.91,95,99,1.15,LA
207,duku,11.2361,4.9073,29.46,12,100,2.76,NG
208,saint-joseph,-21.3667,55.6167,25.21,84,100,4.68,RE
209,mufulira,-12.5498,28.2407,16.64,97,100,1.04,ZM
210,praia da vitoria,38.7333,-27.0667,15.42,88,40,6.83,PT
211,dymer,50.7865,30.3026,-1.14,95,100,4.95,UA
212,roald,62.5833,6.1333,6.29,81,75,5.14,NO
213,tarko-sale,64.9225,77.785,-25.16,100,100,0.49,RU
214,grand-santi,4.25,-54.3833,22.22,99,100,1.72,GF
215,baringo,0.4667,35.9667,21.12,42,43,3.16,KE
216,hutchinson,38.0608,-97.9298,16.69,29,0,0.0,US
217,khani,41.9563,42.9566,3.76,66,97,2.58,GE
218,vila franca do campo,37.7167,-25.4333,15.23,82,65,3.22,PT
219,ohara,35.25,140.3833,6.93,87,1,3.27,JP
220,cozumel,20.5083,-86.9458,28.04,71,40,2.06,MX
221,cayenne,4.9333,-52.3333,22.02,100,75,1.54,GF
222,lasem,-6.6922,111.4527,24.86,87,99,1.34,ID
223,faya,18.3851,42.4509,12.29,66,88,1.5,SA
224,hofn,64.2539,-15.2082,8.12,96,100,16.24,IS
225,geraldton,-28.7667,114.6,23.23,73,100,5.14,AU
226,goundam,16.4145,-3.6708,22.73,12,40,4.07,ML
227,ribeirao bonito,-22.0667,-48.1761,22.19,89,99,1.55,BR
228,likasi,-10.9814,26.7333,17.13,96,100,1.55,CD
229,vila,42.0304,-8.1588,5.49,58,0,2.18,PT
230,hasaki,35.7333,140.8333,2.9,76,1,1.72,JP
231,malakal,9.5334,31.6605,27.14,17,36,2.46,SS
232,kourou,5.1552,-52.6478,22.03,89,98,5.09,GF
233,tigil,57.8,158.6667,-27.91,100,96,0.62,RU
234,yulara,-25.2406,130.9889,20.65,21,0,3.43,AU
235,leshukonskoye,64.8989,45.7622,-20.85,100,97,2.11,RU
236,alice springs,-23.7,133.8833,12.75,76,0,2.06,AU
237,galle,6.0367,80.217,24.97,88,91,1.11,LK
238,sinnamary,5.3833,-52.95,24.6,87,100,6.33,GF
239,karratha,-20.7377,116.8463,30.51,56,3,2.17,AU
240,phatthalung,7.5,100.0833,24.16,90,85,2.9,TH
241,mana,5.6592,-53.7767,24.19,89,100,5.82,GF
242,buriti alegre,-18.14,-49.0403,21.94,87,100,1.66,BR
243,gandevi,20.8167,72.9833,19.94,28,1,2.58,IN
244,valera,9.3178,-70.6036,27.01,64,64,0.77,VE
245,jardim,-21.4803,-56.1381,24.62,79,75,1.57,BR
246,berezovka,53.7214,25.4993,-8.0,95,99,1.57,BY
247,katsuura,35.1333,140.3,8.17,81,1,3.18,JP
